r,l,t,episode
-0.000188,999,1729.173729,769
-0.000197,999,1731.088133,770
-0.000195,999,1733.484557,771
-0.000188,999,1736.099338,772
-0.00019,999,1738.531362,773
-0.000224,999,1740.447592,774
-0.000216,999,1742.35855,775
-0.000231,999,1744.264121,776
-0.000245,999,1746.15079,777
-0.000265,999,1748.120034,778
-0.000255,999,1749.320373,779
-0.000246,999,1752.043995,780
-0.000232,999,1754.655899,781
-0.000225,999,1756.577083,782
-0.000233,999,1758.573722,783
-0.000299,999,1760.538651,784
-0.000315,999,1762.466591,785
-0.000337,999,1764.377179,786
-0.000284,999,1766.941725,787
-0.000256,999,1769.656103,788
-0.000218,999,1772.069875,789
-0.000255,999,1774.054689,790
-0.000231,999,1775.970599,791
-0.000212,999,1777.891914,792
-0.000246,999,1779.85381,793
-0.000265,999,1782.253793,794
-0.000259,999,1784.755234,795
-0.000305,999,1787.637468,796
-0.000287,999,1789.619861,797
-0.000267,999,1791.58066,798
-0.000284,999,1793.428474,799
-0.000299,999,1795.30853,800
-0.000344,999,1797.245347,801
-0.00041,999,1799.676975,802
-0.0004,999,1802.340441,803
-0.000437,999,1804.794436,804
-0.000416,999,1806.718189,805
-0.000398,999,1808.744067,806
-0.000501,999,1810.677524,807
-0.000654,999,1812.581032,808
-0.000685,999,1814.538954,809
-0.00061,999,1817.082526,810
-0.00064,999,1819.989104,811
-0.000515,999,1822.177776,812
-0.000535,999,1824.006644,813
-0.00051,999,1825.850932,814
-0.000492,999,1827.769939,815
-0.00044,999,1829.682028,816
-0.000557,999,1831.977392,817
-0.000513,999,1834.559848,818
-0.000438,999,1837.380457,819
-0.000453,999,1838.534628,820
-0.000448,999,1840.500621,821
-0.0004,999,1842.523061,822
-0.000352,999,1844.504941,823
-0.000434,999,1846.520817,824
-0.000471,999,1848.714178,825
-0.000361,999,1851.408902,826
-0.000358,999,1854.191318,827
-0.000318,999,1856.190139,828
-0.000265,999,1858.174109,829
-0.000223,999,1860.1329,830
-0.000182,999,1862.036098,831
-0.000166,999,1863.995119,832
-0.000145,999,1866.42333,833
-0.000179,999,1869.019263,834
-0.000163,999,1871.708414,835
-0.000186,999,1873.592136,836
-0.000155,999,1875.44161,837
-0.000179,999,1877.324636,838
-0.000194,999,1879.251109,839
-0.000181,999,1881.195825,840
-0.000193,999,1883.758703,841
-0.00019,999,1886.443885,842
-0.000197,999,1888.79834,843
-0.000205,999,1890.710228,844
-0.000182,999,1892.626003,845
-0.000152,999,1894.513854,846
-0.000137,999,1896.467075,847
-0.000154,999,1898.58865,848
-0.000159,999,1901.157093,849
-0.000158,999,1903.895553,850
-0.000143,999,1906.154413,851
-0.000145,999,1908.084813,852
-0.000179,999,1910.0811,853
-0.000161,999,1912.215015,854
-0.000142,999,1914.155204,855
-0.000152,999,1916.636662,856
-0.000161,999,1919.383195,857
-0.000191,999,1922.04031,858
-0.000139,999,1923.922682,859
-0.000146,999,1925.837233,860
-0.000144,999,1926.836136,861
-0.000142,999,1928.750058,862
-0.000154,999,1930.706694,863
-0.000152,999,1932.864842,864
-0.000144,999,1935.402794,865
-0.000151,999,1938.201976,866
-0.000177,999,1940.16557,867
-0.000149,999,1942.188313,868
-0.000181,999,1944.039683,869
-0.000197,999,1945.977439,870
-0.000189,999,1947.856398,871
-0.000177,999,1950.23703,872
-0.000225,999,1952.847389,873
-0.000266,999,1955.644118,874
-0.00023,999,1957.612571,875
-0.000191,999,1959.60397,876
-0.000196,999,1961.632114,877
-0.00022,999,1963.580183,878
-0.000228,999,1965.601938,879
-0.000228,999,1968.209094,880
-0.000291,999,1970.981281,881
-0.000342,999,1973.184525,882
-0.000266,999,1975.157658,883
-0.000202,999,1977.202295,884
-0.000271,999,1979.233513,885
-0.000232,999,1981.218992,886
-0.000202,999,1983.536318,887
-0.000166,999,1986.372005,888
-0.000195,999,1989.296033,889
-0.000194,999,1991.419445,890
-0.000156,999,1993.463369,891
-0.000147,999,1995.514436,892
-0.000158,999,1997.608579,893
-0.000139,999,2000.077215,894
-0.000154,999,2002.752057,895
-0.000175,999,2005.55849,896
-0.000139,999,2007.601406,897
-0.000132,999,2009.657852,898
-0.000124,999,2011.655301,899
